Date,Open,High,Low,Close,Adj Close,Volume
2022-01-24,84.650002,94.430000,80.110001,93.279999,93.279999,9739000
2022-01-25,90.639999,92.440002,83.529999,84.779999,84.779999,7530500
2022-01-26,88.750000,90.570000,79.000000,80.070000,80.070000,7764700
2022-01-27,82.570000,83.730003,79.440002,80.339996,80.339996,5282500
2022-01-28,81.080002,84.489998,76.610001,84.180000,84.180000,5393200
2022-01-31,86.500000,96.470001,86.470001,96.400002,96.400002,6924400
2022-02-01,97.629997,104.070000,95.769997,102.430000,102.430000,9360300
2022-02-02,103.214996,103.245003,97.000000,99.800003,99.800003,7027200
2022-02-03,96.639999,100.849998,94.269997,96.660004,96.660004,4842100
2022-02-04,98.459999,106.080002,94.529999,103.190002,103.190002,5684400
2022-02-07,103.650002,115.110001,103.250000,107.099998,107.099998,8025800
2022-02-08,104.529999,110.949997,102.129997,109.959999,109.959999,4438600
2022-02-09,111.349998,115.300003,108.330002,114.809998,114.809998,4731300
2022-02-10,113.870003,123.120003,113.839996,115.959999,115.959999,10361800
2022-02-11,119.500000,120.870003,103.699997,104.919998,104.919998,11871300
2022-02-14,104.870003,108.459999,104.019997,105.559998,105.559998,4757900
2022-02-15,109.010002,115.680000,107.290001,115.349998,115.349998,5237600
2022-02-16,109.860001,113.000000,107.919998,111.989998,111.989998,4311600
2022-02-17,110.680000,111.080002,102.699997,103.809998,103.809998,4186800
2022-02-18,104.760002,107.565002,94.019997,95.870003,95.870003,6862800
2022-02-22,94.800003,98.790001,93.379997,94.730003,94.730003,4952600
2022-02-23,95.150002,97.750000,90.730003,91.339996,91.339996,4199200
2022-02-24,87.839996,109.339996,86.858002,108.379997,108.379997,10327300
2022-02-25,107.830002,109.900002,100.529999,109.269997,109.269997,5073900
2022-02-28,110.610001,117.300003,108.541000,116.419998,116.419998,8031000
2022-03-01,116.559998,123.360001,116.186996,117.650002,117.650002,5441400
2022-03-02,118.099998,120.550003,110.529999,119.800003,119.800003,4890700
2022-03-03,117.636002,118.550003,101.449997,104.000000,104.000000,10717200
2022-03-04,106.870003,109.129997,97.269997,100.910004,100.910004,5114700
2022-03-07,103.879997,105.339996,92.099998,92.160004,92.160004,6264200
2022-03-08,91.800003,96.110001,90.010002,92.150002,92.150002,5272500
2022-03-09,94.300003,99.260002,93.129997,98.400002,98.400002,4441600
